DC,TrueRMS,ACRMS
0.014053227464104031,0.04245458917533284,0.040061189945986155
0.014405599031322689,0.04262374050631248,0.04011560757732779
0.01396032950547363,0.04250678998303422,0.04014892769128957
0.014191887963931624,0.04257226267140913,0.04013711331153051
0.014235362378069036,0.04258371716863984,0.040133868812559835
0.01423719287971691,0.04257619513997222,0.04012523808655475
0.014332378965407146,0.04260207660162351,0.04011882156747104
0.014351599232709993,0.042612719548922345,0.04012325344259547
0.014214769234530257,0.042603235168973824,0.04016187224809017
0.014680174278506136,0.04274576133659526,0.04014589138875681
0.014890681968013448,0.042800007704205285,0.04012615418910164
0.014509937625252484,0.04234236569262675,0.03977860785094664
0.014705801301576617,0.042437036300451945,0.03980755528846774
0.01498403755205584,0.04253705580978063,0.039810548044493375
0.014272430036438806,0.042258019019270884,0.03977484019185965
0.014019363183618067,0.04229635426713533,0.039905376081636405
0.013905872081449003,0.04185252285378117,0.039474807040448666
0.013863312918135596,0.041878586734772294,0.03951739593945514
0.013720076164188171,0.041952847017219345,0.03964594409140784
0.014147040673558384,0.04208311295664605,0.03963394550511687
0.013906787332272921,0.04205352907867006,0.039687536759861974
0.013918227967572215,0.042041402723919444,0.039670675230419984
0.014126447530019633,0.04209550081509511,0.03965444072301665
0.013932414355343403,0.04180614088518654,0.03941625611271448
0.013942939739818768,0.04183751747869151,0.03944581473606018
